"recipe_source_id","recipe_name","recipe_link","recipe_image","recipe_batch-id","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","favourites_cnt","ingredient_nutrition_url"
"73796","Králičí stehna s cibulovo-smetanovou omáčkou s kapary","https://www.toprecepty.cz/recept/73796-kralici-stehna-s-cibulovo-smetanovou-omackou-s-kapary/","https://static.toprecepty.cz/fotky/recepty/0609/kralici-stehna-s-cibulovo-smetanovou-omackou-s-kapary-240771-270-160-exact.jpg","11","12","0,0","(0×)","RubyRom","5. 3. 2023 21:53","2 názory","






        
												160 min
							
							
 (40 min 
 příprava + 120 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73796"
"73795","Bramborový salát s mungo klíčky","https://www.toprecepty.cz/recept/73795-bramborovy-salat-s-mungo-klicky/","https://static.toprecepty.cz/fotky/recepty/0609/bramborovy-salat-s-mungo-klicky-240767-270-160-exact.jpg","11","12","0,0","(0×)","tejaja","5. 3. 2023 21:26","2 názory","






        
												25 min
							
							
 (10 min 
 příprava + 15 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených
","https://www.toprecepty.cz/nutricni-hodnoty/73795"
"73794","Pečené buchty","https://www.toprecepty.cz/recept/73794-pecene-buchty/","https://static.toprecepty.cz/fotky/recepty/0609/pecene-buchty-240765-270-160-exact.jpg","11","12","0,0","(0×)","Diana24","5. 3. 2023 20:58","0 názorů","






        
												110 min
							
							
 (90 min 
 příprava + 20 min 
 tepelná úprava) 
				
","24","kusů","['Suroviny']","





Přidat do oblíbených (6x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73794"
"73793","Pikantní rohlíčky se sýrem a šunkou","https://www.toprecepty.cz/recept/73793-pikantni-rohlicky-se-syrem-a-sunkou/","https://static.toprecepty.cz/fotky/recepty/0608/pikantni-rohlicky-se-syrem-a-sunkou-240760-270-160-exact.jpg","11","12","0,0","(0×)","RubyRom","5. 3. 2023 13:20","3 názory","






        
												110 min
							
							
 (90 min 
 příprava + 20 min 
 tepelná úprava) 
				
","18","kusů","['Suroviny', 'Náplň', 'Na povrch']","





Přidat do oblíbených (13x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73793"
"73792","Steaky z tuňáka se zeleninou na bylinkovém másle","https://www.toprecepty.cz/recept/73792-steaky-z-tunaka-se-zeleninou-na-bylinkovem-masle/","https://static.toprecepty.cz/fotky/recepty/0608/steaky-z-tunaka-se-zeleninou-na-bylinkovem-masle-240757-270-160-exact.jpg","11","12","5,0","(1×)","Marie Svarcova","5. 3. 2023 10:39","2 názory","






        
												50 min
							
							
 (35 min 
 příprava + 15 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (3x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73792"
"73791","Máslové řízky z vepřové krkovičky","https://www.toprecepty.cz/recept/73791-maslove-rizky-z-veprove-krkovicky/","https://static.toprecepty.cz/fotky/recepty/0608/maslove-rizky-z-veprove-krkovicky-240751-270-160-exact.jpg","11","12","5,0","(1×)","Moanka","4. 3. 2023 22:20","6 názorů","






        
												70 min
							
							
 (20 min 
 příprava + 50 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (7x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73791"
"73790","Hvězdičkové máslové sušenky","https://www.toprecepty.cz/recept/73790-hvezdickove-maslove-susenky/","https://static.toprecepty.cz/fotky/recepty/0608/hvezdickove-maslove-susenky-240747-270-160-exact.jpg","11","12","0,0","(0×)","Kukulka12","4. 3. 2023 20:10","0 názorů","






        
												41 min
							
							
 (30 min 
 příprava + 11 min 
 tepelná úprava, bez doby odležení těsta) 
				
","40","kusů","['Suroviny']","





Přidat do oblíbených (4x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73790"
"73789","Pikantní vepřové kostky","https://www.toprecepty.cz/recept/73789-pikantni-veprove-kostky/","https://static.toprecepty.cz/fotky/recepty/0608/pikantni-veprove-kostky-240746-270-160-exact.jpg","11","12","5,0","(2×)","RubyRom","4. 3. 2023 19:22","11 názorů","






        
												100 min
							
							
 (40 min 
 příprava + 60 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (12x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73789"
"73788","Hovězí dušené na zelenině","https://www.toprecepty.cz/recept/73788-hovezi-dusene-na-zelenine/","https://static.toprecepty.cz/fotky/recepty/0608/hovezi-dusene-na-zelenine-240745-270-160-exact.jpg","11","12","0,0","(0×)","RubyRom","4. 3. 2023 19:08","2 názory","






        
												130 min
							
							
 (40 min 
 příprava + 90 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (11x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73788"
"73787","Pečené brambory s česnekem, slaninou a volským okem","https://www.toprecepty.cz/recept/73787-pecene-brambory-s-cesnekem-slaninou-a-volskym-okem/","https://static.toprecepty.cz/fotky/recepty/0608/pecene-brambory-s-cesnekem-slaninou-a-volskym-okem-240742-270-160-exact.jpg","11","12","0,0","(0×)","RubyRom","4. 3. 2023 15:35","2 názory","






        
												70 min
							
							
 (30 min 
 příprava + 40 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (13x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73787"
"73786","Uhlířské špagety - zdravější verze","https://www.toprecepty.cz/recept/73786-uhlirske-spagety-zdravejsi-verze/","https://static.toprecepty.cz/fotky/recepty/0608/uhlirske-spagety-zdravejsi-verze-240737-270-160-exact.jpg","11","12","0,0","(0×)","Marasmus","4. 3. 2023 13:28","8 názorů","






        
												22 min
							
							
 (10 min 
 příprava + 12 min 
 tepelná úprava) 
				
","1","porce","['Suroviny']","





Přidat do oblíbených (6x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73786"
"73785","Pikantní vepřové maso z kýty","https://www.toprecepty.cz/recept/73785-pikantni-veprove-maso-z-kyty/","https://static.toprecepty.cz/fotky/recepty/0608/pikantni-veprove-maso-z-kyty-240735-270-160-exact.jpg","11","12","4,0","(2×)","mika59","4. 3. 2023 11:50","6 názorů","






        
												55 min
							
							
 (15 min 
 příprava + 40 min 
 tepelná úprava, bez doby marinování masa) 
				
","5","porcí","['Suroviny']","





Přidat do oblíbených (28x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73785"
"73784","Jemná pomazánka na topinky a jiné pečivo","https://www.toprecepty.cz/recept/73784-jemna-pomazanka-na-topinky-a-jine-pecivo/","https://static.toprecepty.cz/fotky/recepty/0608/jemna-pomazanka-na-topinky-a-jine-pecivo-240731-270-160-exact.jpg","11","12","0,0","(0×)","Marie Svarcova","4. 3. 2023 10:23","2 názory","






        
												20 min
							
							
 (20 min 
 příprava, bez doby vaření a chladnutí vajec) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (12x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73784"
"73783","Kynutá bábovka s kakaem, perníkem a ořechy","https://www.toprecepty.cz/recept/73783-kynuta-babovka-s-kakaem-pernikem-a-orechy/","https://static.toprecepty.cz/fotky/recepty/0608/kynuta-babovka-s-kakaem-pernikem-a-orechy-240729-270-160-exact.jpg","11","12","0,0","(0×)","RubyRom","3. 3. 2023 19:55","3 názory","






        
												130 min
							
							
 (90 min 
 příprava + 40 min 
 tepelná úprava) 
				
","1","kus","['Suroviny', 'Těsto', 'Náplň', 'Dále']","





Přidat do oblíbených (5x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73783"
"57565","Hrnkové cuketové knedlíky","https://www.toprecepty.cz/recept/57565-hrnkove-cuketove-knedliky/","https://static.toprecepty.cz/fotky/recepty/0122/hrnkove-cuketove-knedliky-194664-413-295-exact.jpg","11","12","4,8","(16×)","mika59","4. 8. 2018 23:14","3 názory","","","","['Suroviny']","





Přidat do oblíbených (62x)
					","https://www.toprecepty.cz/nutricni-hodnoty/57565"
